stateCode,sourceCode,sectorCode,year,msnCode,energyProduced
AK,CL,AC,1960,CLACB,86
AK,CL,CC,1960,CLCCB,496
AK,CL,EI,1960,CLEIB,914
AK,CL,IC,1960,CLICB,4980
AK,CL,RC,1960,CLRCB,714
AK,CL,TC,1960,CLTXB,6275
AK,NG,AC,1960,NGACB,2
AK,NG,CC,1960,NGCCB,0
AK,NG,EI,1960,NGEIB,0
AK,NG,IC,1960,NGICB,1856
AK,NG,RC,1960,NGRCB,176
AK,NG,TC,1960,NGTXB,2034
AK,NU,TC,1960,NUETB,0
AK,PA,AC,1960,PAACB,27051
AK,PA,CC,1960,PACCB,5230
AK,PA,EI,1960,PAEIB,576
AK,PA,IC,1960,PAICB,7415
AK,PA,RC,1960,PARCB,5137
AK,PA,TC,1960,PATCB,45410
AK,RE,TC,1960,RETCB,6800
AL,CL,AC,1960,CLACB,3422
AL,CL,CC,1960,CLCCB,2801
AL,CL,EI,1960,CLEIB,175259
AL,CL,IC,1960,CLICB,209886
AL,CL,RC,1960,CLRCB,4031
AL,CL,TC,1960,CLTXB,220140
AL,NG,AC,1960,NGACB,7866
AL,NG,CC,1960,NGCCB,18098
AL,NG,EI,1960,NGEIB,9706
AL,NG,IC,1960,NGICB,112771
AL,NG,RC,1960,NGRCB,42265
AL,NG,TC,1960,NGTXB,181000
AL,NU,TC,1960,NUETB,0
AL,PA,AC,1960,PAACB,164727
AL,PA,CC,1960,PACCB,7558
AL,PA,EI,1960,PAEIB,0
AL,PA,IC,1960,PAICB,55728
AL,PA,RC,1960,PARCB,7997
AL,PA,TC,1960,PATCB,236010
AL,RE,TC,1960,RETCB,112809
AR,CL,AC,1960,CLACB,6
AR,CL,CC,1960,CLCCB,0
AR,CL,EI,1960,CLEIB,0
AR,CL,IC,1960,CLICB,350
AR,CL,RC,1960,CLRCB,0
AR,CL,TC,1960,CLTXB,356
AR,NG,AC,1960,NGACB,9467
AR,NG,CC,1960,NGCCB,17762
AR,NG,EI,1960,NGEIB,48417
AR,NG,IC,1960,NGICB,112133
AR,NG,RC,1960,NGRCB,34424
AR,NG,TC,1960,NGTXB,173786
AR,NU,TC,1960,NUETB,0
AR,PA,AC,1960,PAACB,95179
AR,PA,CC,1960,PACCB,4116
AR,PA,EI,1960,PAEIB,750
AR,PA,IC,1960,PAICB,37102
AR,PA,RC,1960,PARCB,10908
AR,PA,TC,1960,PATCB,148055
AR,RE,TC,1960,RETCB,48104
AZ,CL,AC,1960,CLACB,4
AZ,CL,CC,1960,CLCCB,0
AZ,CL,EI,1960,CLEIB,0
AZ,CL,IC,1960,CLICB,206
AZ,CL,RC,1960,CLRCB,0
AZ,CL,TC,1960,CLTXB,210
AZ,NG,AC,1960,NGACB,16467
AZ,NG,CC,1960,NGCCB,26171
AZ,NG,EI,1960,NGEIB,55110
AZ,NG,IC,1960,NGICB,14160
AZ,NG,RC,1960,NGRCB,28367
AZ,NG,TC,1960,NGTXB,85165
AZ,NU,TC,1960,NUETB,0
AZ,PA,AC,1960,PAACB,100219
AZ,PA,CC,1960,PACCB,1768
AZ,PA,EI,1960,PAEIB,274
AZ,PA,IC,1960,PAICB,17448
AZ,PA,RC,1960,PARCB,1636
AZ,PA,TC,1960,PATCB,121344
AZ,RE,TC,1960,RETCB,36181
CA,CL,AC,1960,CLACB,587
CA,CL,CC,1960,CLCCB,64
CA,CL,EI,1960,CLEIB,0
CA,CL,IC,1960,CLICB,35160
CA,CL,RC,1960,CLRCB,92
CA,CL,TC,1960,CLTXB,35903
CA,NG,AC,1960,NGACB,10953
CA,NG,CC,1960,NGCCB,112672
CA,NG,EI,1960,NGEIB,334297
CA,NG,IC,1960,NGICB,466332
CA,NG,RC,1960,NGRCB,377572
CA,NG,TC,1960,NGTXB,967529
CA,NU,TC,1960,NUETB,1
CA,PA,AC,1960,PAACB,1212128
CA,PA,CC,1960,PACCB,61539
CA,PA,EI,1960,PAEIB,151152
CA,PA,IC,1960,PAICB,396500
CA,PA,RC,1960,PARCB,15593
CA,PA,TC,1960,PATCB,1836912
CA,RE,TC,1960,RETCB,270161
CO,CL,AC,1960,CLACB,582
CO,CL,CC,1960,CLCCB,2417
CO,CL,EI,1960,CLEIB,25088
CO,CL,IC,1960,CLICB,36641
CO,CL,RC,1960,CLRCB,3478
CO,CL,TC,1960,CLTXB,43118
CO,NG,AC,1960,NGACB,1281
CO,NG,CC,1960,NGCCB,29495
CO,NG,EI,1960,NGEIB,38311
CO,NG,IC,1960,NGICB,71750
CO,NG,RC,1960,NGRCB,54125
CO,NG,TC,1960,NGTXB,156652
CO,NU,TC,1960,NUETB,0
CO,PA,AC,1960,PAACB,102587
CO,PA,CC,1960,PACCB,3592
CO,PA,EI,1960,PAEIB,725
CO,PA,IC,1960,PAICB,45621
CO,PA,RC,1960,PARCB,9176
CO,PA,TC,1960,PATCB,161701
CO,RE,TC,1960,RETCB,16914
CT,CL,AC,1960,CLACB,383
CT,CL,CC,1960,CLCCB,1975
CT,CL,EI,1960,CLEIB,73706
CT,CL,IC,1960,CLICB,22787
CT,CL,RC,1960,CLRCB,2843
CT,CL,TC,1960,CLTXB,27988
CT,NG,AC,1960,NGACB,230
CT,NG,CC,1960,NGCCB,3306
CT,NG,EI,1960,NGEIB,1818
CT,NG,IC,1960,NGICB,7540
CT,NG,RC,1960,NGRCB,16556
CT,NG,TC,1960,NGTXB,27631
CT,NU,TC,1960,NUETB,0
CT,PA,AC,1960,PAACB,116285
CT,PA,CC,1960,PACCB,36353
