stateCode,sourceCode,year,msnCode,energyProduced
AK,CL,1960,CLPRB,11263.0
AK,NG,1960,NGMPB,248.0
AK,NU,1960,NUETB,0.0
AK,PA,1960,PAPRB,3242.0
AK,RE,1960,REPRB,6800.0
AL,CL,1960,CLPRB,318818.0
AL,NG,1960,NGMPB,93.0
AL,NU,1960,NUETB,0.0
AL,PA,1960,PAPRB,42508.0
AL,RE,1960,REPRB,112809.0
AR,CL,1960,CLPRB,9178.0
AR,NG,1960,NGMPB,57339.0
AR,NU,1960,NUETB,0.0
AR,PA,1960,PAPRB,174679.0
AR,RE,1960,REPRB,48104.0
AZ,CL,1960,CLPRB,132.0
AZ,NG,1960,NGMPB,0.0
AZ,NU,1960,NUETB,0.0
AZ,PA,1960,PAPRB,423.0
AZ,RE,1960,REPRB,36181.0
CA,CL,1960,CLPRB,0.0
CA,NG,1960,NGMPB,590504.0
CA,NU,1960,NUETB,1.0
CA,PA,1960,PAPRB,1771042.0
CA,RE,1960,REPRB,270161.0
CO,CL,1960,CLPRB,78755.0
CO,NG,1960,NGMPB,111000.0
CO,NU,1960,NUETB,0.0
CO,PA,1960,PAPRB,275320.0
CO,RE,1960,REPRB,16914.0
CT,CL,1960,CLPRB,0.0
CT,NG,1960,NGMPB,0.0
CT,NU,1960,NUETB,0.0
CT,PA,1960,PAPRB,0.0
CT,RE,1960,REPRB,17406.0
DC,CL,1960,CLPRB,0.0
DC,NG,1960,NGMPB,0.0
DC,NU,1960,NUETB,0.0
DC,PA,1960,PAPRB,0.0
DC,RE,1960,REPRB,155.0
DE,CL,1960,CLPRB,0.0
DE,NG,1960,NGMPB,0.0
DE,NU,1960,NUETB,0.0
DE,PA,1960,PAPRB,0.0
DE,RE,1960,REPRB,4982.0
FL,CL,1960,CLPRB,0.0
FL,NG,1960,NGMPB,40.0
FL,NU,1960,NUETB,0.0
FL,PA,1960,PAPRB,2140.0
FL,RE,1960,REPRB,35680.0
GA,CL,1960,CLPRB,100.0
GA,NG,1960,NGMPB,0.0
GA,NU,1960,NUETB,0.0
GA,PA,1960,PAPRB,0.0
GA,RE,1960,REPRB,96016.0
HI,CL,1960,CLPRB,0.0
HI,NG,1960,NGMPB,0.0
HI,NU,1960,NUETB,0.0
HI,PA,1960,PAPRB,0.0
HI,RE,1960,REPRB,292.0
IA,CL,1960,CLPRB,22058.0
IA,NG,1960,NGMPB,0.0
IA,NU,1960,NUETB,0.0
IA,PA,1960,PAPRB,0.0
IA,RE,1960,REPRB,15884.0
ID,CL,1960,CLPRB,0.0
ID,NG,1960,NGMPB,0.0
ID,NU,1960,NUETB,0.0
ID,PA,1960,PAPRB,0.0
ID,RE,1960,REPRB,77688.0
IL,CL,1960,CLPRB,1020689.0
IL,NG,1960,NGMPB,21189.0
IL,NU,1960,NUETB,2958.0
IL,PA,1960,PAPRB,448578.0
IL,RE,1960,REPRB,33020.0
IN,CL,1960,CLPRB,346324.0
IN,NG,1960,NGMPB,344.0
IN,NU,1960,NUETB,0.0
IN,PA,1960,PAPRB,69913.0
IN,RE,1960,REPRB,24556.0
KS,CL,1960,CLPRB,18923.0
KS,NG,1960,NGMPB,678800.0
KS,NU,1960,NUETB,0.0
KS,PA,1960,PAPRB,658027.0
KS,RE,1960,REPRB,4123.0
KY,CL,1960,CLPRB,1586449.0
KY,NG,1960,NGMPB,86722.0
KY,NU,1960,NUETB,0.0
KY,PA,1960,PAPRB,122653.0
KY,RE,1960,REPRB,50751.0
LA,CL,1960,CLPRB,0.0
LA,NG,1960,NGMPB,2937821.0
LA,NU,1960,NUETB,0.0
LA,PA,1960,PAPRB,2089299.0
LA,RE,1960,REPRB,38992.0
MA,CL,1960,CLPRB,0.0
MA,NG,1960,NGMPB,0.0
MA,NU,1960,NUETB,394.0
MA,PA,1960,PAPRB,0.0
MA,RE,1960,REPRB,53354.0
MD,CL,1960,CLPRB,18933.0
MD,NG,1960,NGMPB,4154.0
MD,NU,1960,NUETB,0.0
MD,PA,1960,PAPRB,0.0
MD,RE,1960,REPRB,38447.0
ME,CL,1960,CLPRB,0.0
ME,NG,1960,NGMPB,0.0
ME,NU,1960,NUETB,0.0
ME,PA,1960,PAPRB,0.0
ME,RE,1960,REPRB,59784.0
MI,CL,1960,CLPRB,0.0
MI,NG,1960,NGMPB,23087.0
MI,NU,1960,NUETB,0.0
MI,PA,1960,PAPRB,92214.0
MI,RE,1960,REPRB,59100.0
MN,CL,1960,CLPRB,0.0
MN,NG,1960,NGMPB,0.0
